homeOdd,drawOdd,awayOdd,result,date,league,homeTeam,awayTeam,homeGoals,awayGoals
4.31,5.06,1.7,2,2023-08-27,FRA Ligue 1,Milan,Manchester City,0,2
3.14,4.47,2.74,1,2011-10-23,GER Bundesliga,Chelsea,Bayern,1,0
1.28,2.59,2.89,2,2010-01-28,ENG PL,Juventus,Inter,0,1
1.5,5.05,4.67,1,2016-01-31,GER Bundesliga,PSG,Bayern,4,1
4.54,2.97,1.75,2,2014-01-06,FRA Ligue 1,Barcelona,Milan,1,5
1.35,4.96,5.38,1,2023-10-22,ITA Serie A,Manchester City,Milan,5,4
4.26,4.47,5.27,X,2014-10-22,ENG PL,Manchester City,Barcelona,0,0
2.88,3.52,2.23,1,2011-05-30,ITA Serie A,Inter,Liverpool,3,2
4.0,4.71,2.86,2,2016-07-05,FRA Ligue 1,Real Madrid,Liverpool,4,5
1.34,5.44,5.29,1,2012-05-24,FRA Ligue 1,Barcelona,Liverpool,3,0
1.47,5.49,5.42,1,2021-01-14,SPA LaLiga,Inter,Liverpool,5,0
2.34,3.22,1.53,2,2018-10-27,ITA Serie A,Liverpool,Inter,2,5
3.77,3.71,3.4,X,2021-01-12,FRA Ligue 1,Real Madrid,Inter,4,4
4.94,3.81,2.54,1,2010-05-13,FRA Ligue 1,Real Madrid,PSG,4,0
4.55,4.54,4.41,X,2011-09-26,FRA Ligue 1,Manchester City,Real Madrid,0,0
3.43,3.87,5.54,2,2014-08-09,FRA Ligue 1,Barcelona,Bayern,0,5
3.12,2.84,3.49,1,2017-06-16,GER Bundesliga,Juventus,Bayern,4,3
1.71,3.41,2.28,2,2011-10-09,GER Bundesliga,Juventus,Barcelona,0,1
2.92,4.82,3.57,2,2024-11-02,ENG PL,PSG,Barcelona,0,2
2.28,2.61,5.3,1,2013-12-24,GER Bundesliga,PSG,Juventus,5,3
1.96,4.19,5.13,1,2021-01-09,ENG PL,Barcelona,Juventus,5,0
2.6,3.79,3.79,X,2018-05-31,GER Bundesliga,Chelsea,PSG,4,4
2.8,3.53,2.07,1,2010-07-27,GER Bundesliga,PSG,Bayern,3,2
2.22,5.27,2.98,1,2023-05-26,ITA Serie A,Milan,Barcelona,5,3
3.22,3.55,3.71,1,2024-05-28,FRA Ligue 1,Liverpool,Real Madrid,4,1
4.89,3.7,1.62,1,2022-07-13,ITA Serie A,Bayern,Chelsea,5,4
4.49,3.48,5.13,X,2024-06-22,ENG PL,Liverpool,Bayern,4,4
4.83,3.68,2.65,1,2012-05-28,GER Bundesliga,Bayern,Juventus,2,0
2.91,2.69,5.41,2,2014-06-26,ITA Serie A,Manchester City,Barcelona,0,1
2.5,5.06,3.86,X,2013-03-26,GER Bundesliga,PSG,Juventus,2,2
1.53,3.53,1.52,2,2014-11-14,ENG PL,PSG,Barcelona,1,3
4.26,4.17,2.91,2,2013-02-18,ITA Serie A,Juventus,Inter,1,5
1.73,2.61,4.22,2,2023-06-21,SPA LaLiga,Real Madrid,Inter,0,4
1.99,3.82,1.85,1,2012-06-03,FRA Ligue 1,Real Madrid,Inter,4,2
4.67,3.18,1.89,X,2016-01-22,SPA LaLiga,Real Madrid,Manchester City,3,3
4.33,4.9,5.0,1,2024-01-15,ITA Serie A,PSG,Chelsea,2,1
3.88,3.0,2.45,2,2022-06-23,GER Bundesliga,Manchester City,Chelsea,1,3
1.84,3.34,2.0,1,2018-07-09,GER Bundesliga,Liverpool,Real Madrid,5,1
4.55,3.7,5.31,X,2010-01-07,ENG PL,Real Madrid,Barcelona,4,4
3.4,3.91,3.8,1,2010-02-10,SPA LaLiga,Inter,Bayern,4,3
4.1,4.39,2.7,1,2022-02-28,SPA LaLiga,Chelsea,Real Madrid,2,1
4.62,5.45,4.24,2,2012-06-06,ENG PL,Barcelona,Milan,2,4
4.52,2.95,3.6,2,2015-06-18,ITA Serie A,Barcelona,Real Madrid,3,5
3.48,4.19,3.92,2,2023-04-12,ITA Serie A,Manchester City,Bayern,3,4
2.16,5.48,2.32,2,2011-07-18,SPA LaLiga,Liverpool,Chelsea,0,4
1.61,5.4,5.79,2,2023-09-27,SPA LaLiga,Manchester City,Inter,0,5
4.72,4.58,1.51,1,2021-07-10,GER Bundesliga,Bayern,Chelsea,5,1
4.94,2.93,2.54,1,2024-04-13,ENG PL,Bayern,Inter,4,1
3.87,3.41,1.67,X,2011-03-07,ENG PL,Barcelona,PSG,2,2
3.07,3.67,1.51,2,2020-08-09,ITA Serie A,Milan,Liverpool,1,4
3.15,3.66,4.51,X,2015-08-16,SPA LaLiga,Barcelona,PSG,5,5
3.38,4.73,4.39,X,2022-09-06,FRA Ligue 1,Barcelona,Inter,5,5
1.78,3.72,3.92,1,2020-11-05,ENG PL,Real Madrid,Manchester City,2,0
4.21,5.14,3.34,X,2020-10-19,FRA Ligue 1,Juventus,Real Madrid,3,3
3.09,4.52,1.72,1,2018-08-18,SPA LaLiga,Bayern,Inter,3,0
2.68,3.4,2.49,1,2017-11-23,FRA Ligue 1,Inter,PSG,4,2
1.26,5.07,4.34,X,2014-02-12,ENG PL,Real Madrid,Barcelona,5,5
4.01,3.6,2.15,1,2020-08-10,ENG PL,Bayern,Milan,5,0
2.64,4.14,2.37,1,2018-02-18,ENG PL,Inter,Milan,5,4
2.79,2.95,4.73,1,2019-08-01,ITA Serie A,Juventus,Inter,4,1
4.49,5.1,3.81,2,2018-02-01,ENG PL,Real Madrid,PSG,2,5
3.33,4.98,3.68,1,2017-01-30,FRA Ligue 1,Bayern,Milan,4,1
3.6,3.17,4.27,2,2016-07-15,ENG PL,Liverpool,Chelsea,1,2
2.45,5.2,3.45,2,2019-10-16,SPA LaLiga,Juventus,Liverpool,1,3
4.56,3.5,4.11,1,2024-02-13,FRA Ligue 1,Real Madrid,Juventus,3,1
3.23,4.21,4.45,2,2020-02-17,SPA LaLiga,Bayern,Real Madrid,2,5
3.35,2.82,4.86,2,2017-10-07,GER Bundesliga,Milan,Chelsea,3,5
1.32,3.97,3.95,2,2024-04-27,FRA Ligue 1,Barcelona,Inter,1,4
3.78,2.57,5.31,2,2019-10-02,SPA LaLiga,Barcelona,Manchester City,2,5
1.71,2.69,3.57,X,2021-11-23,ITA Serie A,Juventus,Milan,1,1
2.51,4.33,2.16,X,2022-09-16,ITA Serie A,Inter,Barcelona,5,5
4.54,3.47,2.47,2,2020-05-26,GER Bundesliga,Juventus,Barcelona,0,5
2.18,3.84,4.37,1,2015-03-28,ITA Serie A,PSG,Inter,4,0
4.25,4.71,2.87,1,2016-12-23,FRA Ligue 1,Bayern,Milan,3,2
3.83,5.39,5.39,2,2019-03-31,SPA LaLiga,Chelsea,Liverpool,3,4
3.86,5.2,3.78,2,2021-08-30,FRA Ligue 1,Inter,Liverpool,0,3
1.95,5.02,5.16,1,2019-11-03,ENG PL,PSG,Liverpool,4,2
1.96,4.5,5.86,1,2019-10-19,SPA LaLiga,Bayern,Juventus,4,3
2.95,3.44,2.58,1,2010-11-28,SPA LaLiga,Juventus,Barcelona,5,3
3.62,4.25,3.24,2,2016-02-14,GER Bundesliga,Bayern,Real Madrid,1,5
4.77,4.54,4.89,X,2023-12-25,FRA Ligue 1,Real Madrid,PSG,2,2
4.92,3.23,1.93,2,2021-05-30,ENG PL,Liverpool,Barcelona,0,4
1.72,3.68,5.92,2,2012-10-25,FRA Ligue 1,Manchester City,Bayern,0,5
1.21,4.97,2.35,1,2013-02-01,GER Bundesliga,Bayern,Real Madrid,3,0
4.71,5.22,3.71,2,2013-11-09,FRA Ligue 1,PSG,Chelsea,4,5
3.3,5.01,3.2,1,2021-07-19,SPA LaLiga,PSG,Manchester City,5,2
1.75,5.41,2.85,2,2020-10-11,FRA Ligue 1,Juventus,Bayern,0,1
3.55,3.26,5.57,X,2013-09-08,ENG PL,Milan,Chelsea,1,1
4.64,4.01,5.48,2,2017-12-09,FRA Ligue 1,Inter,Real Madrid,1,5
2.41,2.56,5.61,1,2021-01-13,ITA Serie A,Juventus,Inter,5,3
1.28,5.35,2.77,1,2016-10-01,SPA LaLiga,Chelsea,Manchester City,5,1
4.94,4.08,2.01,2,2012-05-22,SPA LaLiga,Manchester City,Real Madrid,0,5
2.44,4.35,3.52,1,2020-02-01,GER Bundesliga,Inter,PSG,4,3
4.58,2.57,2.46,1,2021-01-21,ITA Serie A,Chelsea,Liverpool,2,0
2.96,4.19,2.17,1,2013-11-13,ITA Serie A,Inter,Milan,5,2
3.55,3.41,4.9,2,2014-09-29,SPA LaLiga,Inter,Juventus,1,2
4.85,3.49,4.07,2,2022-01-02,ENG PL,Liverpool,Chelsea,0,1
1.52,3.81,5.4,2,2019-01-11,SPA LaLiga,Juventus,Real Madrid,4,5
3.69,4.0,1.63,1,2017-07-31,FRA Ligue 1,PSG,Inter,1,0
2.85,5.09,3.8,1,2020-06-08,FRA Ligue 1,Inter,Barcelona,5,4
4.38,4.07,4.18,X,2010-06-20,FRA Ligue 1,Manchester City,Liverpool,0,0
4.46,5.36,3.11,X,2010-06-27,SPA LaLiga,Inter,Real Madrid,3,3
3.76,3.58,5.27,1,2021-02-25,SPA LaLiga,Manchester City,Chelsea,4,0
4.3,5.22,2.97,1,2016-07-16,SPA LaLiga,Juventus,PSG,5,4
2.2,2.98,3.76,2,2023-04-10,SPA LaLiga,Chelsea,PSG,0,3
4.01,4.22,5.1,1,2010-03-28,SPA LaLiga,Juventus,Liverpool,4,1
4.03,2.68,3.54,1,2012-05-12,FRA Ligue 1,PSG,Bayern,2,1
2.48,3.83,5.73,2,2018-12-12,GER Bundesliga,Milan,Inter,1,5
1.81,4.86,3.53,X,2013-12-14,FRA Ligue 1,Barcelona,Bayern,4,4
2.49,2.82,1.77,2,2011-05-19,FRA Ligue 1,Juventus,Inter,4,5
2.83,4.09,4.11,2,2014-10-15,ENG PL,Manchester City,Liverpool,3,4
2.85,2.76,5.83,2,2011-11-20,SPA LaLiga,Juventus,Barcelona,0,1
4.88,5.33,1.69,1,2017-12-09,ENG PL,Inter,Chelsea,1,0
3.05,5.24,3.51,X,2018-04-17,FRA Ligue 1,Bayern,Chelsea,2,2
1.26,5.28,5.36,2,2022-01-15,ENG PL,Barcelona,Milan,0,2
2.21,3.37,4.22,2,2010-01-08,ITA Serie A,Bayern,Chelsea,0,1
2.39,4.89,3.86,1,2012-04-05,ENG PL,Barcelona,Chelsea,3,0
2.31,3.28,3.74,2,2020-06-26,ITA Serie A,Liverpool,Juventus,0,2
2.73,4.57,4.4,1,2018-09-25,GER Bundesliga,Bayern,Manchester City,1,0
4.88,5.33,3.58,1,2011-10-27,SPA LaLiga,Manchester City,Bayern,1,0
4.94,3.42,3.45,X,2024-12-11,FRA Ligue 1,Manchester City,Juventus,2,2
1.93,5.1,4.18,2,2017-11-16,GER Bundesliga,Chelsea,Juventus,4,5
2.21,5.23,4.82,2,2019-01-08,ITA Serie A,Manchester City,Inter,3,5
3.74,5.03,5.39,1,2021-07-15,GER Bundesliga,Juventus,Real Madrid,2,1
4.98,3.44,1.67,1,2024-01-21,GER Bundesliga,Bayern,Milan,5,2
1.22,4.62,5.99,2,2021-10-31,FRA Ligue 1,Liverpool,Bayern,1,2
4.88,2.81,3.18,1,2010-07-24,ENG PL,Barcelona,Liverpool,2,0
4.3,4.69,2.53,2,2018-07-25,FRA Ligue 1,PSG,Bayern,1,4
4.51,5.16,3.72,2,2013-06-06,SPA LaLiga,Liverpool,Chelsea,3,5
4.08,2.8,3.29,2,2021-11-22,ITA Serie A,Manchester City,Real Madrid,0,4
1.52,2.52,5.44,2,2020-08-14,ENG PL,Inter,Juventus,0,1
3.71,2.81,4.8,1,2018-04-27,ENG PL,Manchester City,Barcelona,1,0
2.11,2.98,5.45,X,2021-10-01,GER Bundesliga,Juventus,Real Madrid,2,2
4.25,3.06,3.22,1,2018-01-28,ITA Serie A,Inter,PSG,5,2
3.21,4.73,3.81,1,2024-07-15,FRA Ligue 1,Milan,Manchester City,5,1
2.78,4.71,5.54,1,2020-03-25,GER Bundesliga,Milan,Real Madrid,3,1
1.82,4.79,2.1,1,2014-05-29,ITA Serie A,Manchester City,Chelsea,5,1
3.78,4.02,5.63,X,2020-07-12,SPA LaLiga,Bayern,Inter,2,2
4.68,2.92,5.5,1,2010-04-27,SPA LaLiga,Inter,Chelsea,5,0
4.33,3.41,2.35,1,2019-07-02,ENG PL,Milan,Liverpool,5,4
2.57,4.37,4.73,1,2015-11-08,SPA LaLiga,Inter,PSG,4,0
3.51,4.85,4.5,1,2015-03-19,GER Bundesliga,Inter,PSG,2,1
4.57,3.9,2.45,2,2021-06-10,GER Bundesliga,Manchester City,Milan,0,1
4.03,3.56,2.35,X,2017-12-18,ITA Serie A,Milan,Manchester City,4,4
1.75,2.66,2.92,2,2023-02-21,FRA Ligue 1,Manchester City,Milan,3,4
1.29,3.67,2.01,1,2017-07-13,ENG PL,Bayern,Barcelona,4,0
4.84,5.23,5.31,1,2018-10-24,GER Bundesliga,PSG,Barcelona,3,1
3.39,4.53,3.73,2,2014-07-31,FRA Ligue 1,Juventus,Manchester City,0,1
1.44,4.79,1.81,1,2022-06-30,SPA LaLiga,PSG,Barcelona,3,2
4.24,5.32,1.7,1,2011-06-14,GER Bundesliga,Bayern,Real Madrid,2,0
2.84,4.24,2.1,1,2018-05-04,SPA LaLiga,Real Madrid,Milan,2,0
2.62,5.33,3.07,1,2013-04-15,SPA LaLiga,Chelsea,Manchester City,3,2
4.08,2.68,2.36,1,2021-04-04,GER Bundesliga,Inter,PSG,4,0
3.81,4.84,2.76,2,2017-06-05,SPA LaLiga,Liverpool,PSG,0,1
1.88,4.85,1.51,X,2022-06-21,GER Bundesliga,Juventus,Real Madrid,3,3
1.8,4.65,1.96,1,2012-04-28,GER Bundesliga,Liverpool,Inter,5,1
3.43,2.84,5.17,1,2010-02-04,FRA Ligue 1,Real Madrid,Barcelona,4,2
4.72,3.81,1.75,2,2021-01-07,ITA Serie A,Manchester City,Liverpool,1,2
1.27,5.25,5.67,2,2017-08-23,SPA LaLiga,Inter,Milan,1,2
3.72,3.58,2.64,2,2024-01-22,GER Bundesliga,Manchester City,PSG,1,3
4.49,5.0,4.25,1,2011-11-19,ENG PL,Barcelona,PSG,3,0
4.6,2.84,5.23,2,2010-06-06,ENG PL,Chelsea,Juventus,1,5
4.39,5.24,5.49,2,2021-01-16,SPA LaLiga,Milan,Chelsea,1,4
4.12,4.5,1.68,1,2018-03-29,ITA Serie A,Barcelona,Real Madrid,4,1
3.58,3.4,5.97,1,2020-05-16,ENG PL,PSG,Milan,5,2
4.04,5.07,2.69,1,2014-03-01,ITA Serie A,PSG,Milan,4,2
4.58,5.49,2.74,1,2023-02-03,ITA Serie A,Bayern,Milan,5,4
1.5,3.15,2.99,X,2010-11-15,GER Bundesliga,Manchester City,Real Madrid,3,3
3.91,2.85,3.76,X,2014-06-15,ENG PL,Manchester City,Liverpool,0,0
3.66,3.7,6.0,1,2015-09-14,ENG PL,Real Madrid,Inter,5,4
2.25,4.65,2.4,1,2013-05-10,SPA LaLiga,Chelsea,Manchester City,3,1
1.87,4.74,5.67,2,2020-11-29,SPA LaLiga,Real Madrid,Juventus,1,3
2.27,5.26,2.0,1,2011-08-29,SPA LaLiga,PSG,Milan,1,0
3.73,4.82,4.96,1,2016-09-12,ENG PL,Chelsea,Manchester City,3,0
4.93,4.42,5.5,X,2024-11-06,FRA Ligue 1,Manchester City,Real Madrid,5,5
2.28,3.98,5.9,1,2015-02-14,ITA Serie A,Real Madrid,Chelsea,5,3
3.7,5.0,5.03,1,2011-05-21,ENG PL,Liverpool,Manchester City,4,3
1.65,3.11,5.33,2,2020-03-07,FRA Ligue 1,Real Madrid,Bayern,0,1
1.85,4.75,2.63,2,2020-01-19,FRA Ligue 1,Real Madrid,Inter,1,4
1.44,4.67,1.86,2,2018-07-17,ITA Serie A,Chelsea,Barcelona,2,3
2.64,4.39,3.57,1,2022-11-07,SPA LaLiga,PSG,Manchester City,3,1
4.42,2.91,4.24,2,2017-09-20,ENG PL,Bayern,Liverpool,4,5
3.97,3.5,3.47,1,2013-05-05,ENG PL,Bayern,Chelsea,1,0
4.75,2.86,4.09,X,2014-06-09,ENG PL,Inter,Barcelona,1,1
3.91,3.93,4.34,2,2016-03-11,GER Bundesliga,Chelsea,Juventus,0,3
1.83,5.03,4.03,2,2018-08-20,ITA Serie A,PSG,Milan,2,4
2.0,4.93,2.05,1,2024-02-27,ENG PL,PSG,Liverpool,3,0
3.74,4.98,5.03,X,2010-02-10,FRA Ligue 1,Chelsea,Juventus,2,2
3.34,2.58,5.98,2,2019-04-22,GER Bundesliga,Chelsea,Liverpool,1,2
2.49,4.9,2.54,X,2024-03-17,GER Bundesliga,Juventus,Bayern,2,2
4.76,2.86,5.17,1,2011-11-17,ENG PL,Juventus,Liverpool,4,3
1.86,2.79,3.88,X,2019-02-20,ENG PL,PSG,Manchester City,1,1
1.5,2.77,4.68,2,2024-12-22,SPA LaLiga,Liverpool,Inter,4,5
4.74,3.06,4.98,1,2012-08-23,ITA Serie A,Juventus,Inter,5,1
2.45,2.82,4.85,2,2021-07-03,ENG PL,Juventus,Barcelona,2,4
4.69,5.45,3.43,2,2020-04-01,FRA Ligue 1,Milan,Manchester City,3,5
4.13,3.91,5.3,2,2019-10-23,GER Bundesliga,Chelsea,PSG,3,5
4.76,2.63,4.41,1,2015-01-13,SPA LaLiga,Liverpool,Inter,1,0
2.11,4.92,1.55,2,2017-11-07,ITA Serie A,Bayern,Manchester City,0,3
1.92,2.91,4.49,X,2023-10-28,SPA LaLiga,PSG,Juventus,5,5
3.23,5.39,5.23,1,2021-10-12,FRA Ligue 1,Barcelona,PSG,2,1
4.89,2.85,4.62,2,2015-05-02,ITA Serie A,Liverpool,Barcelona,3,5
4.14,2.73,5.97,2,2020-10-15,ITA Serie A,PSG,Juventus,2,5
2.11,2.74,4.22,1,2012-09-18,ENG PL,Real Madrid,Barcelona,5,1
3.35,4.73,3.34,2,2024-03-24,FRA Ligue 1,Liverpool,Manchester City,0,2
2.03,4.17,4.7,1,2017-11-14,ENG PL,Barcelona,Inter,3,0
4.44,2.78,1.98,2,2012-04-14,SPA LaLiga,PSG,Manchester City,0,1
3.23,3.39,4.59,1,2012-06-02,SPA LaLiga,Juventus,Real Madrid,3,1
2.39,3.72,4.62,2,2011-12-28,FRA Ligue 1,Real Madrid,Barcelona,4,5
3.12,4.14,3.55,2,2018-05-19,GER Bundesliga,Bayern,Barcelona,0,2
2.17,2.85,4.44,2,2010-10-01,SPA LaLiga,Liverpool,Inter,0,5
4.56,4.72,3.9,1,2022-04-21,FRA Ligue 1,Real Madrid,Milan,2,1
2.74,3.37,2.06,2,2022-03-13,SPA LaLiga,Bayern,Juventus,1,4
1.42,4.41,4.35,1,2019-06-05,SPA LaLiga,Milan,Bayern,5,4
3.07,4.0,2.22,1,2012-06-07,FRA Ligue 1,Juventus,Milan,4,3
4.04,3.06,4.9,2,2011-02-12,ENG PL,Bayern,Real Madrid,3,4
1.75,4.43,4.01,2,2016-01-14,FRA Ligue 1,Bayern,Liverpool,1,5
3.23,4.66,5.5,1,2012-09-19,FRA Ligue 1,Barcelona,Real Madrid,5,3
4.91,3.24,1.56,X,2013-09-07,ENG PL,Inter,Manchester City,2,2
4.36,3.26,4.49,2,2013-02-18,ITA Serie A,Inter,Juventus,0,5
4.47,4.25,5.33,1,2019-02-22,ENG PL,Inter,PSG,5,0
4.66,3.95,1.84,1,2017-06-11,FRA Ligue 1,Real Madrid,Bayern,3,2
4.94,4.03,2.92,1,2014-04-17,ITA Serie A,Chelsea,Milan,3,0
3.71,5.22,3.73,2,2023-06-09,ENG PL,Bayern,Milan,3,5
2.98,2.52,2.12,X,2011-05-27,SPA LaLiga,Liverpool,Chelsea,4,4
4.89,3.99,5.65,1,2018-04-09,SPA LaLiga,Liverpool,PSG,5,0
1.28,3.17,2.32,1,2013-07-26,FRA Ligue 1,Bayern,Manchester City,5,0
3.08,2.75,5.98,2,2017-05-04,SPA LaLiga,Liverpool,PSG,1,3
1.91,3.83,4.38,1,2015-02-22,ITA Serie A,Manchester City,Chelsea,2,1
3.26,3.93,3.87,2,2014-07-05,ENG PL,Juventus,Barcelona,0,2
4.78,3.5,1.71,1,2012-03-30,GER Bundesliga,Chelsea,Barcelona,5,4
2.7,2.77,2.22,2,2022-01-18,ENG PL,Bayern,Barcelona,1,3
4.46,5.08,4.4,1,2017-01-05,SPA LaLiga,Bayern,Liverpool,4,2
1.83,4.65,2.19,1,2016-02-21,FRA Ligue 1,Real Madrid,Barcelona,3,2
2.64,4.59,1.51,2,2020-09-21,ITA Serie A,Barcelona,Juventus,0,5
2.17,4.51,4.96,2,2020-01-05,GER Bundesliga,Manchester City,Milan,1,4
1.96,3.12,5.66,1,2020-06-22,FRA Ligue 1,PSG,Inter,3,1
2.49,4.2,5.29,2,2024-02-25,GER Bundesliga,Liverpool,Manchester City,0,3
2.34,5.47,3.73,2,2019-09-01,ENG PL,Liverpool,Barcelona,2,5
3.38,3.2,3.39,1,2011-03-29,ITA Serie A,Milan,Barcelona,3,2
1.54,5.43,3.0,1,2019-09-30,FRA Ligue 1,Juventus,Barcelona,4,2
1.99,3.25,2.76,1,2022-03-07,FRA Ligue 1,Manchester City,Juventus,1,0
3.77,5.05,4.32,X,2019-05-10,FRA Ligue 1,PSG,Real Madrid,0,0
4.67,3.26,1.61,1,2019-09-03,GER Bundesliga,Bayern,Real Madrid,3,1
2.33,4.44,5.43,2,2019-10-02,SPA LaLiga,PSG,Inter,0,1
3.06,5.25,2.08,1,2022-02-07,GER Bundesliga,Bayern,Inter,2,0
2.62,4.26,4.05,1,2011-04-11,GER Bundesliga,PSG,Juventus,5,3
4.29,4.2,5.75,1,2019-12-26,FRA Ligue 1,Juventus,Liverpool,2,1
4.91,3.78,3.01,1,2017-11-13,GER Bundesliga,Bayern,Real Madrid,4,0
1.65,4.44,3.0,2,2010-09-29,GER Bundesliga,Inter,Manchester City,1,2
3.13,4.52,3.74,2,2020-05-18,ENG PL,Milan,PSG,0,1
1.94,3.8,3.38,2,2023-03-11,FRA Ligue 1,Real Madrid,Barcelona,0,4
2.17,4.95,5.51,X,2024-11-11,ENG PL,Liverpool,Milan,0,0
3.02,2.66,5.61,X,2024-08-10,FRA Ligue 1,Real Madrid,Juventus,5,5
3.36,2.91,4.78,X,2011-09-21,ITA Serie A,Bayern,Juventus,4,4
1.62,4.12,3.85,2,2014-02-16,ITA Serie A,Chelsea,Juventus,3,5
1.88,5.18,1.73,2,2021-06-10,SPA LaLiga,Inter,Chelsea,0,3
4.27,3.16,5.91,1,2012-09-15,ITA Serie A,PSG,Manchester City,5,3
2.38,2.78,3.0,1,2019-08-06,ITA Serie A,Manchester City,Chelsea,3,0
4.89,5.1,4.52,2,2010-12-24,SPA LaLiga,Inter,PSG,3,5
1.42,4.51,5.85,2,2020-02-06,FRA Ligue 1,Milan,Chelsea,0,3
2.1,3.71,3.85,2,2020-09-17,GER Bundesliga,Liverpool,Bayern,2,3
2.45,4.42,5.6,2,2021-06-11,FRA Ligue 1,PSG,Juventus,4,5
4.91,3.84,1.9,1,2011-07-10,ENG PL,PSG,Real Madrid,5,4
3.5,3.92,3.49,1,2013-10-22,FRA Ligue 1,Manchester City,PSG,5,3
1.66,2.53,3.87,1,2024-01-20,ENG PL,Liverpool,Juventus,3,2
3.04,2.94,4.55,2,2023-06-05,ITA Serie A,Barcelona,Milan,0,4
3.31,3.85,3.72,X,2020-06-16,GER Bundesliga,Barcelona,Milan,5,5
3.18,5.47,1.79,1,2012-09-19,ITA Serie A,Liverpool,Inter,4,3
2.08,3.46,2.33,1,2020-07-22,ENG PL,PSG,Milan,2,1
4.78,5.25,4.45,1,2011-12-21,GER Bundesliga,Inter,Manchester City,5,2
4.96,3.94,5.02,X,2022-08-24,SPA LaLiga,Chelsea,Bayern,3,3
2.09,3.49,5.89,1,2017-01-18,GER Bundesliga,PSG,Chelsea,4,0
4.79,2.56,3.12,2,2014-04-15,ENG PL,Juventus,Barcelona,0,3
2.16,4.88,3.17,2,2018-02-04,GER Bundesliga,Manchester City,Real Madrid,2,3
2.7,3.15,4.55,2,2015-05-03,FRA Ligue 1,Bayern,Milan,4,5
2.03,5.47,3.09,2,2021-06-20,FRA Ligue 1,PSG,Barcelona,0,3
1.63,4.88,3.09,X,2012-08-07,ENG PL,Manchester City,Juventus,1,1
1.34,2.99,3.11,1,2010-06-02,ENG PL,Inter,Chelsea,3,0
3.9,5.46,5.15,2,2019-06-02,ENG PL,Real Madrid,PSG,3,5
3.96,4.78,5.63,2,2024-03-01,ENG PL,Barcelona,Liverpool,3,4
4.5,4.31,5.13,2,2013-12-10,FRA Ligue 1,Liverpool,PSG,2,3
1.57,5.08,3.44,2,2014-02-02,ITA Serie A,Juventus,Chelsea,0,5
2.02,3.1,2.25,2,2022-06-27,GER Bundesliga,Manchester City,Liverpool,1,5
2.99,3.08,3.98,1,2011-04-02,ITA Serie A,Barcelona,Inter,5,0
2.4,2.72,4.0,2,2017-12-10,ENG PL,Manchester City,Barcelona,3,4
2.06,4.05,2.78,1,2024-10-13,ENG PL,Manchester City,Inter,4,1
1.39,3.65,5.76,1,2010-01-18,ITA Serie A,Milan,Liverpool,4,0
4.77,4.98,2.12,2,2018-11-04,ENG PL,Inter,Chelsea,0,2
1.36,3.49,5.73,2,2021-05-29,ITA Serie A,Barcelona,Chelsea,1,2
2.76,3.43,3.41,2,2014-10-10,GER Bundesliga,Manchester City,Real Madrid,1,4
3.71,5.44,3.66,2,2022-12-10,SPA LaLiga,Manchester City,Juventus,1,2
3.15,4.32,2.35,1,2014-07-04,ITA Serie A,Liverpool,Real Madrid,5,4
3.36,3.41,1.64,1,2012-11-16,GER Bundesliga,Manchester City,Inter,3,1
3.22,3.84,5.79,X,2023-10-04,GER Bundesliga,PSG,Manchester City,1,1
4.01,4.77,5.6,2,2021-10-07,GER Bundesliga,Chelsea,Manchester City,2,5
2.89,3.9,3.96,1,2024-07-06,SPA LaLiga,Inter,Liverpool,5,4
2.52,3.8,5.52,1,2013-10-31,SPA LaLiga,Inter,Real Madrid,3,0
1.59,5.23,3.87,1,2018-06-17,ITA Serie A,Real Madrid,Bayern,3,1
2.63,2.79,1.56,1,2010-01-17,FRA Ligue 1,Liverpool,Bayern,5,0
4.77,5.2,4.21,1,2015-06-06,SPA LaLiga,Inter,Liverpool,3,1
4.58,4.95,3.25,1,2010-04-14,ITA Serie A,PSG,Juventus,2,0
2.02,4.68,5.21,X,2014-11-03,ITA Serie A,Bayern,Liverpool,3,3
2.51,2.96,1.79,2,2014-09-05,SPA LaLiga,Barcelona,Juventus,0,3
3.81,3.59,4.84,1,2011-12-13,GER Bundesliga,Bayern,Chelsea,3,0
4.79,4.96,5.19,2,2020-04-19,GER Bundesliga,Bayern,PSG,2,4
4.82,3.18,5.22,2,2014-02-01,GER Bundesliga,Liverpool,Barcelona,1,3
3.55,5.42,2.22,2,2023-08-05,GER Bundesliga,Liverpool,Milan,2,4
2.1,5.14,5.9,2,2023-06-04,ENG PL,Manchester City,Inter,3,5
2.4,5.17,2.4,1,2015-06-07,GER Bundesliga,Barcelona,Manchester City,5,1
2.61,2.56,2.04,2,2018-05-16,GER Bundesliga,Manchester City,Milan,0,5
3.2,4.04,3.7,2,2020-06-19,FRA Ligue 1,Manchester City,Milan,4,5
1.56,4.51,5.76,2,2015-06-19,FRA Ligue 1,Chelsea,Bayern,0,5
1.65,4.49,3.21,X,2019-02-07,FRA Ligue 1,Milan,Chelsea,3,3
4.03,3.32,2.9,1,2019-01-29,FRA Ligue 1,Real Madrid,Bayern,4,1
3.87,4.11,3.2,2,2022-07-20,ENG PL,Milan,Inter,0,5
1.52,2.62,4.09,2,2011-10-09,ITA Serie A,Bayern,PSG,0,1
